"filename", "language", "Python", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "JSON", "SVG", "TypeScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\README.md", "Markdown", 0, 0, 0, -23, 0, 0, 0, 0, 0, 0, 0, -14, -37
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\app\editor\page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\app\editor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -37, 0, 0, 0, -2, -39
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, -126, -6, -13, -145
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -5, -41
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\app\page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -12
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -2, -4, -22
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components.json", "JSON", 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, -21
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\layout\canvas\Canvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -131, 0, 0, 0, -19, -150
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\layout\canvas\CanvasTransformation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -155, 0, 0, 0, -28, -183
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\layout\canvas\canvas.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, -3, -26
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\layout\loading\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -53, 0, 0, -3, -9, -65
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\layout\loading\loading.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, -4, -28
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\other\Accordeon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -146, 0, 0, 0, -10, -156
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\other\AddMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -151, 0, 0, -2, -17, -170
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\other\BreakLine.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -7
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\other\ContextMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -436, 0, 0, -21, -36, -493
